ride_id,rideable_type,started_at,ended_at,start_station_name,end_station_name,member_casual,ride_length,day_of_week
95FA9AA55E270558,classic_bike,2022-03-28 09:20:43.000000 UTC,2022-03-28 09:27:54.000000 UTC,Canal St & Taylor St,Canal St & Jackson Blvd,casual,0-0 0 0:7:11,Monday
95FA9AA55E270558,classic_bike,2022-03-28 09:20:43.000000 UTC,2022-03-28 09:27:54.000000 UTC,Canal St & Taylor St,Canal St & Jackson Blvd,casual,0-0 0 0:7:11,Monday
F63A12B32BBCB5EA,electric_bike,2022-03-28 09:51:37.000000 UTC,2022-03-28 09:56:50.000000 UTC,Canal St & Taylor St,State St & Van Buren St,member,0-0 0 0:5:13,Monday
F63A12B32BBCB5EA,electric_bike,2022-03-28 09:51:37.000000 UTC,2022-03-28 09:56:50.000000 UTC,Canal St & Taylor St,State St & Van Buren St,member,0-0 0 0:5:13,Monday
DFA45A4C4433D06C,electric_bike,2022-03-28 14:10:01.000000 UTC,2022-03-28 14:15:29.000000 UTC,Canal St & Taylor St,Wabash Ave & Roosevelt Rd,member,0-0 0 0:5:28,Monday
DFA45A4C4433D06C,electric_bike,2022-03-28 14:10:01.000000 UTC,2022-03-28 14:15:29.000000 UTC,Canal St & Taylor St,Wabash Ave & Roosevelt Rd,member,0-0 0 0:5:28,Monday
E869D54980C8E63C,electric_bike,2022-03-28 16:45:23.000000 UTC,2022-03-28 16:49:34.000000 UTC,Canal St & Taylor St,Clinton St & Madison St,member,0-0 0 0:4:11,Monday
E869D54980C8E63C,electric_bike,2022-03-28 16:45:23.000000 UTC,2022-03-28 16:49:34.000000 UTC,Canal St & Taylor St,Clinton St & Madison St,member,0-0 0 0:4:11,Monday
80511C554D0BA2B4,classic_bike,2022-03-28 17:10:52.000000 UTC,2022-03-28 17:17:45.000000 UTC,Canal St & Taylor St,Wabash Ave & Roosevelt Rd,member,0-0 0 0:6:53,Monday
80511C554D0BA2B4,classic_bike,2022-03-28 17:10:52.000000 UTC,2022-03-28 17:17:45.000000 UTC,Canal St & Taylor St,Wabash Ave & Roosevelt Rd,member,0-0 0 0:6:53,Monday
2DAC59E6FDF48CDF,classic_bike,2022-03-28 18:29:14.000000 UTC,2022-03-28 18:35:43.000000 UTC,Canal St & Taylor St,Delano Ct & Roosevelt Rd,member,0-0 0 0:6:29,Monday
2DAC59E6FDF48CDF,classic_bike,2022-03-28 18:29:14.000000 UTC,2022-03-28 18:35:43.000000 UTC,Canal St & Taylor St,Delano Ct & Roosevelt Rd,member,0-0 0 0:6:29,Monday
6389AF4BF79A5F27,classic_bike,2022-03-29 08:55:04.000000 UTC,2022-03-29 09:05:58.000000 UTC,Canal St & Taylor St,Wood St & Taylor St (Temp),member,0-0 0 0:10:54,Tuesday
6389AF4BF79A5F27,classic_bike,2022-03-29 08:55:04.000000 UTC,2022-03-29 09:05:58.000000 UTC,Canal St & Taylor St,Wood St & Taylor St (Temp),member,0-0 0 0:10:54,Tuesday
9D362A82D3243359,classic_bike,2022-03-29 13:21:49.000000 UTC,2022-03-29 13:28:03.000000 UTC,Canal St & Taylor St,Wabash Ave & Roosevelt Rd,member,0-0 0 0:6:14,Tuesday
9D362A82D3243359,classic_bike,2022-03-29 13:21:49.000000 UTC,2022-03-29 13:28:03.000000 UTC,Canal St & Taylor St,Wabash Ave & Roosevelt Rd,member,0-0 0 0:6:14,Tuesday
B707A32814E13BFD,classic_bike,2022-03-29 15:58:54.000000 UTC,2022-03-29 16:06:21.000000 UTC,Canal St & Taylor St,Wabash Ave & Roosevelt Rd,member,0-0 0 0:7:27,Tuesday
B707A32814E13BFD,classic_bike,2022-03-29 15:58:54.000000 UTC,2022-03-29 16:06:21.000000 UTC,Canal St & Taylor St,Wabash Ave & Roosevelt Rd,member,0-0 0 0:7:27,Tuesday
A6B37303ACF47230,electric_bike,2022-03-29 16:00:29.000000 UTC,2022-03-29 16:04:34.000000 UTC,Canal St & Taylor St,Clinton St & Washington Blvd,member,0-0 0 0:4:5,Tuesday
A6B37303ACF47230,electric_bike,2022-03-29 16:00:29.000000 UTC,2022-03-29 16:04:34.000000 UTC,Canal St & Taylor St,Clinton St & Washington Blvd,member,0-0 0 0:4:5,Tuesday
92BD00E3D81793AC,classic_bike,2022-03-29 16:13:07.000000 UTC,2022-03-29 16:45:30.000000 UTC,Canal St & Taylor St,Indiana Ave & 26th St,casual,0-0 0 0:32:23,Tuesday
92BD00E3D81793AC,classic_bike,2022-03-29 16:13:07.000000 UTC,2022-03-29 16:45:30.000000 UTC,Canal St & Taylor St,Indiana Ave & 26th St,casual,0-0 0 0:32:23,Tuesday
8D218C4C1AA5718A,classic_bike,2022-03-29 16:16:31.000000 UTC,2022-03-29 16:24:46.000000 UTC,Canal St & Taylor St,State St & Harrison St,member,0-0 0 0:8:15,Tuesday
8D218C4C1AA5718A,classic_bike,2022-03-29 16:16:31.000000 UTC,2022-03-29 16:24:46.000000 UTC,Canal St & Taylor St,State St & Harrison St,member,0-0 0 0:8:15,Tuesday
35DBB4CAAA873D78,classic_bike,2022-03-29 16:54:58.000000 UTC,2022-03-29 17:02:16.000000 UTC,Canal St & Taylor St,Wabash Ave & Roosevelt Rd,member,0-0 0 0:7:18,Tuesday
35DBB4CAAA873D78,classic_bike,2022-03-29 16:54:58.000000 UTC,2022-03-29 17:02:16.000000 UTC,Canal St & Taylor St,Wabash Ave & Roosevelt Rd,member,0-0 0 0:7:18,Tuesday
42D37C0328B97863,electric_bike,2022-03-29 18:21:55.000000 UTC,2022-03-29 18:28:34.000000 UTC,Canal St & Taylor St,Ashland Ave & 13th St,member,0-0 0 0:6:39,Tuesday
42D37C0328B97863,electric_bike,2022-03-29 18:21:55.000000 UTC,2022-03-29 18:28:34.000000 UTC,Canal St & Taylor St,Ashland Ave & 13th St,member,0-0 0 0:6:39,Tuesday
EE97E3ECD5944CFC,electric_bike,2022-03-29 19:18:41.000000 UTC,2022-03-29 19:21:09.000000 UTC,Canal St & Taylor St,Clinton St & Tilden St,member,0-0 0 0:2:28,Tuesday
EE97E3ECD5944CFC,electric_bike,2022-03-29 19:18:41.000000 UTC,2022-03-29 19:21:09.000000 UTC,Canal St & Taylor St,Clinton St & Tilden St,member,0-0 0 0:2:28,Tuesday
137471D6D2676584,classic_bike,2022-03-29 20:20:16.000000 UTC,2022-03-29 20:26:08.000000 UTC,Canal St & Taylor St,Dearborn St & Van Buren St,member,0-0 0 0:5:52,Tuesday
137471D6D2676584,classic_bike,2022-03-29 20:20:16.000000 UTC,2022-03-29 20:26:08.000000 UTC,Canal St & Taylor St,Dearborn St & Van Buren St,member,0-0 0 0:5:52,Tuesday
41C66FE6451A3C37,classic_bike,2022-03-29 20:37:22.000000 UTC,2022-03-29 20:44:53.000000 UTC,Canal St & Taylor St,Michigan Ave & 8th St,member,0-0 0 0:7:31,Tuesday
41C66FE6451A3C37,classic_bike,2022-03-29 20:37:22.000000 UTC,2022-03-29 20:44:53.000000 UTC,Canal St & Taylor St,Michigan Ave & 8th St,member,0-0 0 0:7:31,Tuesday
DC1218E7C715CD7F,docked_bike,2022-03-29 23:28:54.000000 UTC,2022-03-29 23:36:15.000000 UTC,Canal St & Taylor St,Racine Ave & 15th St,casual,0-0 0 0:7:21,Tuesday
DC1218E7C715CD7F,docked_bike,2022-03-29 23:28:54.000000 UTC,2022-03-29 23:36:15.000000 UTC,Canal St & Taylor St,Racine Ave & 15th St,casual,0-0 0 0:7:21,Tuesday
919A7812F9BF38D8,electric_bike,2022-03-30 07:47:11.000000 UTC,2022-03-30 07:51:28.000000 UTC,Canal St & Taylor St,Clinton St & Jackson Blvd,member,0-0 0 0:4:17,Wednesday
919A7812F9BF38D8,electric_bike,2022-03-30 07:47:11.000000 UTC,2022-03-30 07:51:28.000000 UTC,Canal St & Taylor St,Clinton St & Jackson Blvd,member,0-0 0 0:4:17,Wednesday
62CF0666FAB6559A,classic_bike,2022-03-30 08:57:30.000000 UTC,2022-03-30 09:06:23.000000 UTC,Canal St & Taylor St,Wood St & Taylor St (Temp),member,0-0 0 0:8:53,Wednesday
62CF0666FAB6559A,classic_bike,2022-03-30 08:57:30.000000 UTC,2022-03-30 09:06:23.000000 UTC,Canal St & Taylor St,Wood St & Taylor St (Temp),member,0-0 0 0:8:53,Wednesday
5B2DA4DF95185630,classic_bike,2022-03-30 09:07:54.000000 UTC,2022-03-30 09:09:38.000000 UTC,Canal St & Taylor St,Canal St & Harrison St,member,0-0 0 0:1:44,Wednesday
5B2DA4DF95185630,classic_bike,2022-03-30 09:07:54.000000 UTC,2022-03-30 09:09:38.000000 UTC,Canal St & Taylor St,Canal St & Harrison St,member,0-0 0 0:1:44,Wednesday
4A1532F67B4BA8D6,classic_bike,2022-03-30 10:06:47.000000 UTC,2022-03-30 10:19:38.000000 UTC,Canal St & Taylor St,Loomis St & Lexington St,member,0-0 0 0:12:51,Wednesday
4A1532F67B4BA8D6,classic_bike,2022-03-30 10:06:47.000000 UTC,2022-03-30 10:19:38.000000 UTC,Canal St & Taylor St,Loomis St & Lexington St,member,0-0 0 0:12:51,Wednesday
839993129083D731,electric_bike,2022-03-30 17:08:49.000000 UTC,2022-03-30 17:09:43.000000 UTC,Canal St & Taylor St,Canal St & Taylor St,casual,0-0 0 0:0:54,Wednesday
839993129083D731,electric_bike,2022-03-30 17:08:49.000000 UTC,2022-03-30 17:09:43.000000 UTC,Canal St & Taylor St,Canal St & Taylor St,casual,0-0 0 0:0:54,Wednesday
5C1428CC86B76F4D,electric_bike,2022-03-30 19:58:58.000000 UTC,2022-03-30 20:04:24.000000 UTC,Canal St & Taylor St,Jefferson St & Monroe St,casual,0-0 0 0:5:26,Wednesday
5C1428CC86B76F4D,electric_bike,2022-03-30 19:58:58.000000 UTC,2022-03-30 20:04:24.000000 UTC,Canal St & Taylor St,Jefferson St & Monroe St,casual,0-0 0 0:5:26,Wednesday
110359F0146AFD8A,classic_bike,2022-03-30 20:46:04.000000 UTC,2022-03-30 21:24:20.000000 UTC,Canal St & Taylor St,Clinton St & Roosevelt Rd,member,0-0 0 0:38:16,Wednesday
110359F0146AFD8A,classic_bike,2022-03-30 20:46:04.000000 UTC,2022-03-30 21:24:20.000000 UTC,Canal St & Taylor St,Clinton St & Roosevelt Rd,member,0-0 0 0:38:16,Wednesday
BAD645941C151068,electric_bike,2022-03-31 11:21:51.000000 UTC,2022-03-31 11:23:24.000000 UTC,Canal St & Taylor St,Canal St & Harrison St,member,0-0 0 0:1:33,Thursday
BAD645941C151068,electric_bike,2022-03-31 11:21:51.000000 UTC,2022-03-31 11:23:24.000000 UTC,Canal St & Taylor St,Canal St & Harrison St,member,0-0 0 0:1:33,Thursday
05B7A5C16D7024B0,classic_bike,2022-03-31 16:39:02.000000 UTC,2022-03-31 16:45:09.000000 UTC,Canal St & Taylor St,Wabash Ave & Roosevelt Rd,member,0-0 0 0:6:7,Thursday
05B7A5C16D7024B0,classic_bike,2022-03-31 16:39:02.000000 UTC,2022-03-31 16:45:09.000000 UTC,Canal St & Taylor St,Wabash Ave & Roosevelt Rd,member,0-0 0 0:6:7,Thursday
3F0C3FE1B2F93C20,electric_bike,2022-03-31 18:02:36.000000 UTC,2022-03-31 18:07:56.000000 UTC,Canal St & Taylor St,Clinton St & Madison St,member,0-0 0 0:5:20,Thursday
3F0C3FE1B2F93C20,electric_bike,2022-03-31 18:02:36.000000 UTC,2022-03-31 18:07:56.000000 UTC,Canal St & Taylor St,Clinton St & Madison St,member,0-0 0 0:5:20,Thursday
D7DE87559F88CF01,electric_bike,2022-03-31 18:45:54.000000 UTC,2022-03-31 19:00:20.000000 UTC,Canal St & Taylor St,None given,casual,0-0 0 0:14:26,Thursday
D7DE87559F88CF01,electric_bike,2022-03-31 18:45:54.000000 UTC,2022-03-31 19:00:20.000000 UTC,Canal St & Taylor St,None given,casual,0-0 0 0:14:26,Thursday
8D7D733F02EBD63C,docked_bike,2022-03-31 18:47:20.000000 UTC,2022-03-31 19:00:56.000000 UTC,Canal St & Taylor St,Blue Island Ave & 18th St,casual,0-0 0 0:13:36,Thursday
8D7D733F02EBD63C,docked_bike,2022-03-31 18:47:20.000000 UTC,2022-03-31 19:00:56.000000 UTC,Canal St & Taylor St,Blue Island Ave & 18th St,casual,0-0 0 0:13:36,Thursday
0088F101980B4362,electric_bike,2022-03-31 19:29:53.000000 UTC,2022-03-31 19:32:44.000000 UTC,Canal St & Taylor St,Clinton St & Tilden St,member,0-0 0 0:2:51,Thursday
0088F101980B4362,electric_bike,2022-03-31 19:29:53.000000 UTC,2022-03-31 19:32:44.000000 UTC,Canal St & Taylor St,Clinton St & Tilden St,member,0-0 0 0:2:51,Thursday
2BE77F5F7D38CC94,classic_bike,2022-03-31 20:33:48.000000 UTC,2022-03-31 20:42:55.000000 UTC,Canal St & Taylor St,Michigan Ave & 8th St,member,0-0 0 0:9:7,Thursday
2BE77F5F7D38CC94,classic_bike,2022-03-31 20:33:48.000000 UTC,2022-03-31 20:42:55.000000 UTC,Canal St & Taylor St,Michigan Ave & 8th St,member,0-0 0 0:9:7,Thursday
CA5CD2878A7A85C5,electric_bike,2022-03-31 21:19:22.000000 UTC,2022-03-31 21:27:05.000000 UTC,Canal St & Taylor St,None given,member,0-0 0 0:7:43,Thursday
CA5CD2878A7A85C5,electric_bike,2022-03-31 21:19:22.000000 UTC,2022-03-31 21:27:05.000000 UTC,Canal St & Taylor St,None given,member,0-0 0 0:7:43,Thursday
F0F9833F78A6763C,electric_bike,2022-04-01 09:36:29.000000 UTC,2022-04-01 09:38:15.000000 UTC,Canal St & Taylor St,Canal St & Harrison St,casual,0-0 0 0:1:46,Friday
CB5E1E42B9B5A80A,classic_bike,2022-04-01 12:47:19.000000 UTC,2022-04-01 12:55:59.000000 UTC,Canal St & Taylor St,Throop St & Taylor St,member,0-0 0 0:8:40,Friday
DD967663D3B61B87,electric_bike,2022-04-01 13:28:26.000000 UTC,2022-04-01 13:31:11.000000 UTC,Canal St & Taylor St,Clinton St & Tilden St,member,0-0 0 0:2:45,Friday
9C9F9F5F68756DAB,classic_bike,2022-04-01 15:11:53.000000 UTC,2022-04-01 15:19:09.000000 UTC,Canal St & Taylor St,Wabash Ave & Roosevelt Rd,member,0-0 0 0:7:16,Friday
0DF0B06C8E0CF7BD,electric_bike,2022-04-01 15:44:08.000000 UTC,2022-04-01 16:14:09.000000 UTC,Canal St & Taylor St,None given,casual,0-0 0 0:30:1,Friday
B428AF22EE436129,classic_bike,2022-04-01 15:44:09.000000 UTC,2022-04-01 16:08:13.000000 UTC,Canal St & Taylor St,Wabash Ave & Grand Ave,casual,0-0 0 0:24:4,Friday
